目录,题目类型,大题题干,小题题型,小题题干,正确答案,答案解析,难易度,知识点,标签,选项数,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,选项I,选项J,选项K,选项L,选项M,选项N,选项O,选项P,选项Q,选项R,选项S,选项T,选项U,选项V,选项W,选项X,选项Y,选项Z
/第二章/2.1.1线性表的定义和特点,单选题,线性表是具有n个( )的有限序列(n≥0)。,,,C,,易,线性表的定义和特点,,4,表元素,字符,数据元素,数据项,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.1.1线性表的定义和特点,单选题,"线性表L=(a1,a2,...,an),下列陈述正确的是( )。",,,D,,易,线性表的定义和特点,,4,每个数据元素都有一个直接前驱和一个直接后继。,线性表中至少有一个数据元素。,表中元素的排列必须是有序的。,除第一个和最后一个以外，其余数据元素都有一个直接前驱和一个直接后继。,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.1.1线性表的定义和特点,多选题,"线性表L=(a1,a2,...,an),下列陈述错误的是(      )。

 ",,,ABCD,,易,线性表的定义和特点,,4,线性表中至少有一个数据元素。,表中元素的排列必须是有序的,每个数据元素都有一个直接前驱和一个直接后继。,线性表的值和位置有关,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.1.3.2 线性表合并算法设计,单选题,将两个各有n个元素的递减排列的有序表归并成一个非递增有序排列的线性表，最小需要比较的次数是:,,,A,,易,线性表合并算法设计,,4,n,2n-1,2n,n-1,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.1.3.2 线性表合并算法设计,单选题,将两个各有n个元素的递增有序的线性表归并成一个非递减排列的有序表，最小需要比较的次数是:,,,A,,易,线性表合并算法设计,,4,n,2n-1,2n,n-1,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,判断题,"线性表在顺序存储时，逻辑上相邻的元素未必在存储的物理位置次序上相邻。
",,,B,,易,线性表的顺序存储表示,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,判断题,"顺序存储方式的优点是存储密度大，且插入、删除运算效率高。
",,,B,,易,线性表的顺序存储表示,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,判断题,所谓随机存取，就是通过首地址和元素的位序号值可以在O(1)的时间内找到指定的元素。,,,A,,易,线性表的顺序存储表示,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,单选题,顺序表中第一个元素的存储地址是100，每个元素的长度为2，则第5个元素的地址是()。,,,B,,易,线性表的顺序存储表示,,4,110,108,100,120,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,单选题,顺序表中第一个元素的存储地址是100，每个元素的长度为4，则第5个元素的地址是( ),,,C,,易,线性表的顺序存储表示,,4,105,124,116,120,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,单选题,线性表的顺序存储结构是一种( ),,,A,,易,数据结构、逻辑结构和存储结构;线性表的顺序存储表示,,4,随机存取的存储结构,顺序存取的存储结构,索引存取的存储结构,散列存取的存储结构,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,单选题,一个顺序表所占用的存储空间大小与( )无关。,,,C,,易,线性表的顺序存储表示,,4,表的长度,元素的类型,元素的存放顺序,元素中各字段的类型,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,单选题,用数组表示线性表的优点是()。,,,B,,易,线性表的顺序存储表示,,4,便于插入和删除操作,便于随机存取,可以动态地分配存储空间,不需要占用一片相邻的存储空间,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,判断题,在顺序表中逻辑上相邻的元素，其对应的物理位置也是相邻的。,,,A,,易,线性表的顺序存储表示,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,判断题,顺序表的顺序存取，是在O(n)的时间内找到指定的元素。,,,A,,易,线性表的顺序存储表示,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,判断题,顺序存储的线性表不支持随机存取。,,,B,,易,线性表的顺序存储表示,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.1 线性表的顺序存储表示,单选题,某线性表最常用的操作是取第i个元素和找到其直接前驱，采用( )存储方式最节省时间。 ,,,A,,易,线性表的顺序存储表示,,4,顺序表,单链表,双向链表,单循环链表,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,单选题,下述( )是顺序存储结构的优点。,,,A,,易,顺序表的存储结构定义,,4,存储密度大,插入运算方便,删除运算方便,可方便地用于各种逻辑结构的存储表示,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,填空题,"顺序表也称为____(随机存取，顺序存取  二选一)的数据结构，按序号访问任意结点的时间复杂度均为____。
",,,,,易,顺序表的存储结构定义,,2,"随机存取 
","O（1）；O(1)
",,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,单选题,顺序表中第一个元素的存储地址是2000，每个元素的长度为2，则第100个元素的地址是:,,,B,,易,顺序表的存储结构定义,,4,2200,2198,2100,2202,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,单选题,顺序表中第一个元素的存储地址是100，每个元素的长度为2，则第5个元素的地址是()。,,,B,,易,顺序表的存储结构定义,,4,110,108,100,120,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,单选题,顺序表中第一个元素的存储地址是100，每个元素的长度为2，则第5个元素的地址是( ),,,C,,易,顺序表的存储结构定义,,4,100,105,108,110,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,单选题,线性表的顺序存储结构是一种( ),,,A,,易,顺序表的存储结构定义,,4,随机存取的存储结构,顺序存取的存储结构,索引存取的存储结构,散列存取的存储结构,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,单选题,一个顺序表所占用的存储空间大小与( )无关。,,,C,,易,顺序表的存储结构定义,,4,表的长度,元素的类型,元素的存放顺序,元素中各字段的类型,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,单选题,用数组表示线性表的优点是()。,,,B,,易,顺序表的存储结构定义,,4,便于插入和删除操作,便于随机存取,可以动态地分配存储空间,不需要占用一片相邻的存储空间,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,判断题,对于顺序存储的长度为N的线性表，删除第一个元素和插入最后一个元素的时间复杂度分别对应为O(1)和O(N)。,,,B,,易,顺序表的存储结构定义,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,判断题,顺序存储的线性表不支持随机存取。,,,B,,易,顺序表的存储结构定义,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,单选题,顺序表中第一个元素的存储地址是100，每个元素的长度为2，则第5个元素的地址是:,,,B,,易,顺序表的存储结构定义,,4,110,108,100,120,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,简答题,"给定一个顺序存储的线性表，请设计一个算法查找该线性表中最长的连续递增子序列。例如，(1,9,2,5,7,3,4,6,8,0)中最长的递增子序列为(3,4,6,8)。
输入格式: 
输入第1行给出正整数n（≤105）；第2行给出n个整数，其间以空格分隔。
输出格式: 
在一行中输出第一次出现的最长连续递增子序列，数字之间用空格分隔，序列结尾不能有多余空格。
输入样例：
15
1 9 2 5 7 3 4 6 8 0 11 15 17 17 10
输出样例： 
3 4 6 8
",,,A,,易,顺序表的存储结构定义,,1,"答案输入：
15
1 9 2 5 7 3 4 6 8 9 0 11 15 17 17 10
答案输出：
3 4 6 8 9
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.2 顺序表的存储结构定义,单选题,线性表的顺序存储结构中，若一个元素的物理位置与其逻辑位置的关系是怎样的？,,,D,在顺序存储结构中，逻辑上相邻的元素在物理位置上也是相邻的，因此物理位置与逻辑位置是一致的。,中,线性表的顺序存储表示,,4,物理位置等于逻辑位置,物理位置比逻辑位置大1,物理位置与逻辑位置不一致,物理位置与逻辑位置一致,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,对于顺序存储的线性表，访问第i个结点和在第i 个结点前插入元素的时间复杂度分别为( )。 (单选题),,,C,,易,顺序表的插入,,4,O(n) O(n),O(n) O(1),O(1) O(n),O(1) O(1),,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,填空题,"向长度为n的顺序表第i个元素(1≤i≤n+1)之前插入一个元素时，需向后移动____个元素。删除第i个元素(1≤i≤n)时，需向前移动 ____个元素。在等概率的状态下，插入一个元素，需要平均移动 ____个元素，删除一个元素，需要平均移动 _____个数据元素。
",,,,,易,顺序表的插入,,4,"n-i+1
","n-i
","n/2
","(n-1)/2
",,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,对于顺序存储的线性表，访问结点和增加结点的时间复杂度分别为()。,,,C,,易,线性表的顺序存储表示;顺序表的插入,,4,O(n)O(n),O(n) O(1),O(1) O(n),O(1) O(1),,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,在一个有127个元素的顺序表中插入一个新元素并保持原来的顺序不变，平均要移动的元素个数为:,,,B,,易,顺序表的插入,,4,8,63.5,63,7,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,在一个长度为n的顺序表中，在第i个元素之前插入一个新元素时，需向后移动( )个元素。,,,B,,易,顺序表的插入,,4,n-i,n-i+1,n-i-1,i,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,"在长度为 n的顺序表中插入一个元素时，所需移动元素次数的期望值(平均次数)为()。
",,,A,,易,顺序表的插入,,4,"n/2 
","(n-1)/2 
","(n+1)/2 
","n 
",,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,若长度为n的线性表采用顺序结构，在第i个数据元素之前插入一个元素，需要它依次向后移动()个元素。,,,B,,易,顺序表的插入,,4,n-i,n-i+1,n-i-1,i,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,判断题,对于顺序存储的长度为N的线性表，访问结点和增加结点的时间复杂度分别对应为O(1)和O(N)。,,,A,,易,顺序表的存储结构定义;顺序表的插入,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,在一个有127个元素的顺序表中插入一个新元素并保持原来的顺序不变，平均要移动的元素个数为:,,,B,,易,顺序表的插入,,4,8,63.5,63,7,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,在一个长度为n的顺序表中，在第i个元素之前插入一个新元素时，需向后移动(      )个元素。,,,B,,易,顺序表的插入,,4,n-i,n-i+1,n-i-1,i,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,填空题,一般情况下，顺序表中在第i(1≤i≤n)个元素之前插入一个元素时，需移动____个元素;若要删除第i (1≤i≤n)个元素时，需移动____个元素。,,,,,易,顺序表的插入,,2,n-i+1,n-i,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,在长度为n的顺序表中插入一个元素时，所需移动元素次数的期望值(平均次数)为(),,,A,,易,顺序表的插入,,4,n/2,(n-1)/2,(n+1)/2,n,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,165、对于顺序存储的长度为N的线性表，访问结点和增加结点的时间复杂度为:,,,B,,易,线性表的顺序存储表示;顺序表的插入,,4,"O(1), O(1)","O(1), O(N)","O(N), O(1)","O(N), O(N)",,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,"要将一个顺序表{a0,a1,……,an−1}中第i个数据元素ai(0≤i≤n-1)删除，需要移动( )个数据元素。",,,B,,易,顺序表的插入,,4,i,n-i-1,n-i,n-i+1,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,若长度为n的线性表采用顺序结构，在第i个数据元素之前插入一个元素，需要它依次向后移动()个元素。,,,B,,易,顺序表的插入,,4,n-i,n-i+1,n-i-1,i,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,判断题,对于顺序存储的长度为N的线性表，访问结点和增加结点的时间复杂度分别对应为O(1)和O(N)。,,,A,,易,顺序表的插入,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,判断题,若某线性表最常用的操作是存取任一指定序号的元素和在最后进行插入和删除运算，则利用顺序表存储最节省时间。,,,A,,易,顺序表的插入,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,简答题,"长为n的数组左移m位，设计算法，分析复杂度。
",,,A,,易,顺序表的插入,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,计算题,实现顺序表的就地逆置。,,,A,,中,顺序表的插入,,1,"void reverse(SqList &amp;A)
{
    for(i=0,j=A.length-1;i&lt;j;i++,j--)
          A.elem[i]&lt;-&gt;A.elem[j];              //元素交换
}
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,对于顺序存储的线性表，访问结点和增加结点的时间复杂度为( )。,,,C,,易,顺序表的插入,,4,O(n) O(n) , O(n) O(1) ,O(1) O(n) , O(1) O(1) ,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.2顺序表的插入,单选题,顺序表中，若表长为n，删除第1个元素的操作需要移动多少个元素？,,,A,删除第一个元素时，表中剩余的n - 1个元素都需要向前移动一位，因此需要移动n - 1个元素。,中,顺序表的删除,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,向一个有127个元素原顺序表中删除一个新元素并保存原来顺序不变，平均要移动( )个元素。,,,B,,易,顺序表的删除,,4,8,63.5,63,64,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,在n个结点的顺序表中，算法的时间复杂度是O(1)的操作是()。,,,A,,易,顺序表的插入;顺序表的删除,,4,访问第i个结点(1≤i≤n)和求第i个结点的直接前驱(2≤i≤n),在第i个结点后插入一个新结点(1≤i≤n),删除第i个结点(1≤i≤n),查找值最大的结点,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,在含n个结点的顺序表中，算法的时间复杂度是O(1)的操作是:,,,A,,易,线性表的顺序存储表示;顺序表的插入;顺序表的删除,,4,访问第i个结点和求第i个结点的直接前驱。,在第i个结点之前插入一个新结点。,删除第i个结点。,将表中结点从小到大排序。,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,填空题,一般情况下，顺序表中在第 i(1≤ i≤ n)个元素之前插入一个元素时，需移动____个元素;若要删除第 i (1≤ i≤ n)个元素时，需移动____个元素。,,,,,易,顺序表的插入;顺序表的删除,,2,n-i+1,n-i,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,在长度为 n的顺序表中删除一个元素时，所需移动元素次数的期望值(平均次数)为()。,,,C,,易,顺序表的删除,,4,n,n/2,(n-1)/2,(n+1)/2,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,填空题,"一般情况下，顺序表中在第 i(1≤ i≤ n)个元素之前插入一个元素时，需移动____个元素;若要删除第 i (1≤ i≤ n)个元素时，需移动____个元素。 
",,,,,易,顺序表的插入;顺序表的删除,,2,"n-i+1
","n-i
",,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,在长度为 n的顺序表中删除一个元素时，所需移动元素次数的期望值(平均次数)为() 。,,,C,,易,顺序表的删除,,4,n,n/2,(n-1)/2,(n+1)/2,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,判断题,对于顺序存储的长度为N的线性表，访问结点和增加结点的时间复杂度分别对应为O(1)和O(N) 。,,,A,,易,线性表的顺序存储表示;顺序表的插入;顺序表的删除,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,对于顺序存储的长度为N的线性表，访问结点和增加结点的时间复杂度为:,,,B,,易,线性表的顺序存储表示;顺序表的插入;顺序表的删除,,4,"O(1), O(1)","O(1), O(N)","O(N), O(1)","O(N), O(N)",,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,在N个结点的顺序表中，算法的时间复杂度为O(1)的操作是:,,,A,,易,顺序表的存储结构定义;顺序表的插入;顺序表的删除,,4,访问第i个结点(1≤i≤N)和求第i个结点的直接前驱(2≤i≤N),在第i个结点后插入一个新结点(1≤i≤N),删除第i个结点(1≤i≤N),将N个结点从小到大排序,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,若某线性表最常用的操作是存取任一指定序号的元素和在最后进行插入和删除运算，则利用哪种存储方式最节省时间?,,,D,,易,顺序表的存储结构定义;顺序表的插入;顺序表的删除,,4,双链表,单循环链表,带头结点的双循环链表,顺序表,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,"要将一个顺序表{a0,a1,……,an−1}中第i个数据元素ai(0≤i≤n-1)删除，需要移动( )个数据元素。",,,B,,易,顺序表的删除,,4,i,n-i-1,n-i,n-i+1,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,若长度为n的线性表采用顺序存储结构，那么删除它的第i个数据元素之前，需要它一次向前移动()个数据元素。,,,A,,易,顺序表的删除,,4,n-i,n+i,n-i-1,n-i+1,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,"线性表L=(a1, a2 ,……，an )用一维数组表示，假定删除线性表中任一元素的概率相同(都为1/n)，则删除一个元素平均需要移动元素的个数是()。",,,C,,易,顺序表的删除,,4,n/2,(n+1)/2,(n-1)/2,n,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,判断题,若某线性表最常用的操作是存取任一指定序号的元素和在最后进行插入和删除运算，则利用顺序表存储最节省时间。,,,A,,易,顺序表的存储结构定义;顺序表的插入;顺序表的删除,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,判断题,在顺序表中逻辑上相邻的元素，其对应的物理位置也是相邻的。,,,A,,易,线性表的顺序存储表示;顺序表的插入;顺序表的删除,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,判断题,在顺序表上进行插入、删除操作时需要移动元素的个数与待插入或待删除元素的位置无关。,,,B,,易,顺序表的插入;顺序表的删除,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,"在含n个结点的顺序表中，算法的时间复杂度是O（n）的操作是：
",,,B,,易,线性表的顺序存储表示;顺序表的插入;顺序表的删除,,4,"访问第i个结点。
","在第i个结点之前插入一个新结点。
",求第i个结点的直接前驱。,"将表中结点从小到大排序。
",,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,简答题,"若一个线性表L采用顺序存储结构存储，其中所有的元素为整数。设计一个算法，删除元素值在[x,y]之间的所有元素，要求算法的时间复杂度为O(n)，空间复杂度为O(1)。
输入格式: 
三行数据，第一行是顺序表的元素个数，第二行是顺序表的元素，第三行是x和y。
输出格式: 
删除元素值在[x,y]之间的所有元素后的顺序表。
输入样例: 
105 1 9 10 67 12 8 33 6 23 10
输出样例: 
1 67 12 33 2
",,,A,,易,顺序表的删除,,1,"答案输入：
105 1 9 10 67 12 8 33 6 2 13 10
答案输出：
1 67 12 33 2 1

",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,在长度为n的顺序表中删除一个元素时，所需移动元素次数的期望值(平均次数)为(),,,C,,易,顺序表的删除,,4,n,n/2,(n-1)/2,(n+1)/2,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,在N个结点的顺序表中，算法的时间复杂度为O(1)的操作是:,,,A,,易,线性表的顺序存储表示;顺序表的插入;顺序表的删除,,4,访问第i个结点(1≤i≤N)和求第i个结点的直接前驱(2≤i≤N),在第i个结点后插入一个新结点(1≤i≤N),删除第i个结点(1≤i≤N),将N个结点从小到大排序,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,若长度为n的线性表采用顺序存储结构，那么删除它的第i个数据元素之前，需要它一次向前移动()个数据元素。,,,A,,易,顺序表的删除,,4,n-i,n+i,n-i-1,n-i+1,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,"线性表L=(a1, a2 ,……，an )用一维数组表示，假定删除线性表中任一元素的概率相同(都为1/n)，则删除一个元素平均需要移动元素的个数是()。",,,C,,易,顺序表的删除,,4,n/2,(n+1)/2,(n-1)/2,n,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,判断题,对于顺序存储的长度为N的线性表，删除第一个元素和插入最后一个元素的时间复杂度分别对应为O(1)和O(N)。,,,B,,易,顺序表的插入;顺序表的删除,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,简答题,在顺序表上进行插入、删除操作时需要移动元素的个数与待插入或待删除元素的位置无关。,,,A,,易,线性表的顺序存储表示;顺序表的插入;顺序表的删除,,1,错误 正确,,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.2.3.3顺序表的删除,单选题,在顺序表中，若要将第i个元素删除（1 ≤ i ≤ n），以下操作描述中哪一项是正确的？,,,C,删除操作的核心在于将该位置之后的所有元素前移一位，以维护数据的连续性。,中,顺序表的删除,,4,将第i个元素与最后一个元素交换后再删除最后一个元素,只需将第i个元素覆盖为null,将第i个元素后面的所有元素前移一个位置,重新分配存储空间并删除该元素,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,填空题,顺序表中逻辑上相邻的元素的物理位置____相邻。单链表中逻辑上相邻的元素的物理位置____相邻 。,,,,,易,线性表的顺序存储表示;单链表的相关概念,,2,必定,不一定,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,单选题,线性表采用链式存储时，结点的存储空间( )的。,,,A,,易,单链表的相关概念,,3,可以不连续,一定连续,一定不连续,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,填空题,"在非空的单链表h中，某个结点p为尾指针的条件是 _____成立。
",,,,,易,单链表的相关概念,,1," p-&gt;next==NULL；!p-&gt;next
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,判断题,链表中的每个结点都恰好包含一个指针。,,,B,,易,单链表的相关概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,判断题,链表的物理存储结构具有同链表逻辑结构一样的顺序。,,,B,,易,单链表的相关概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,判断题,链表中的头结点仅起到标识的作用。,,,B,,易,单链表的相关概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,填空题,"在非空的单循环链表h中，某个结点p为尾指针的条件是 _____。
",,,,,易,单链表的相关概念,,1," p-&gt;next==h
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,判断题,若用链表来表示一个线性表，则表中元素的地址一定是连续的。,,,B,,易,单链表的相关概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,单选题,线性表采用链式存储时，其地址()。,,,D,,易,单链表的相关概念,,4,必须是连续的,一定是不连续的,部分地址必须是连续的,连续与否均可以,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,判断题,若用链表来表示一个线性表，则表中元素的地址一定是连续的。,,,B,,易,单链表的相关概念,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.1单链表的相关概念,简答题,单链表中头指针、首结点、头结点的意义是什么？,,,A,,中,单链表的相关概念,,1,首结点是指第一个元素结点，而头指针是链表中第一个结点的指针变量，头结点是在链表的首结点前附加的一个结点，其数据域为空，若带头结点的单链表不空，则头结点指针域的值就是首结点的地址。增加了头结点使得空表和非空表统一，算法处理一致，方便了链表中运算的实现。,,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.2单链表结构的实现,填空题,在不带头结点的单链表h中为空表的条件是____。,,,,,易,单链表结构的实现,,1,h==NULL,,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.2单链表结构的实现,判断题,顺序表的每个结点只能是一个简单类型，而链表的每个结点可以是一个复杂类型。,,,B,,易,顺序表的存储结构定义;单链表结构的实现,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.2单链表结构的实现,单选题,单链表中，增加头结点的目的是为了( )。 ,,,A,,易,单链表结构的实现,,4,方便运算的实现,用于标识单链表,使单链表中至少有一个结点,用于标识起始结点的位置,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.2单链表结构的实现,单选题,下面关于线性表的叙述中，错误的是()。,,,B,,易,线性表的顺序存储表示;单链表结构的实现,,4,线性表采用顺序存储，必须占用一片连续的存储单元。,线性表采用顺序存储，便于进行插入和删除操作。,线性表采用链式存储，不必占用一片连续的存储单元。,线性表采用链式存储，便于插入和删除操作。,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.2单链表结构的实现,单选题,单链表结点存储结构所占用的存储空间:,,,A,,易,单链表的相关概念;单链表结构的实现,,4,分为两部分，一部分存放结点值，另一部分存放表示结点间关系的指针。,只有一部分，存放结点值。,只有一部分，存放表示关系的指针。,分为两部分，一部分存储结点值，一部分存放结点个数。,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.2单链表结构的实现,单选题,线性结构若采用链式存储结构，要求内存中可用存储单元的地址:,,,D,,易,单链表的相关概念;单链表结构的实现,,4,必须是连续的。,部分地址必须是连续的。,一定是不连续的。,连续或不连续都可以。,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.2单链表结构的实现,单选题,单链表的存储密度:,,,C,,易,单链表的相关概念;单链表结构的实现,,4,大于1,等于1,小于1,不确定。,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.2单链表结构的实现,判断题,单链表的存储密度会随着数据类型的变化而改变,,,A,,易,单链表的相关概念;单链表结构的实现,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.1.2单链表结构的实现,判断题,单链表的结点地址可以不连续。,,,A,,易,单链表的相关概念;单链表结构的实现,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
